Price             Close         High          Low         Open      Volume
Ticker      AXISBANK.NS  AXISBANK.NS  AXISBANK.NS  AXISBANK.NS AXISBANK.NS
Date                                                                      
2026-01-16  1294.199951  1309.000000  1286.500000  1298.800049     5175495
2026-01-19  1307.500000  1327.000000  1297.099976  1307.000000     8833223
2026-01-20  1293.500000  1310.900024  1290.000000  1306.099976     6268527
2026-01-21  1284.900024  1297.699951  1267.400024  1290.000000     3854702
2026-01-22  1294.800049  1298.900024  1281.400024  1290.000000     5949677
2026-01-23  1258.000000  1299.000000  1248.000000  1297.000000     8885549
2026-01-27  1315.800049  1333.199951  1278.400024  1288.800049    22715357
2026-01-28  1319.800049  1369.400024  1310.199951  1348.000000    15426403
2026-01-29  1363.699951  1367.000000  1306.000000  1318.000000    16107684
2026-01-30  1370.400024  1378.699951  1352.000000  1352.000000    14758482
2026-02-02  1311.500000  1352.699951  1302.900024  1339.000000     8647298
2026-02-03  1356.199951  1418.300049  1345.500000  1403.000000    10384723
2026-02-04  1338.699951  1369.900024  1336.599976  1369.699951     6672251
2026-02-05  1330.599976  1340.000000  1317.400024  1340.000000     3766488
2026-02-06  1341.599976  1346.400024  1324.699951  1325.000000     5876574
2026-02-09  1341.400024  1350.000000  1330.699951  1350.000000     4077536
2026-02-10  1356.699951  1360.099976  1343.300049  1352.599976     5478998
2026-02-11  1347.300049  1360.000000  1344.800049  1358.000000     3866272
2026-02-12  1340.000000  1357.699951  1336.199951  1347.900024     4152620
2026-02-13  1332.300049  1346.500000  1316.099976  1341.300049     4624549
2026-02-16  1339.800049  1341.000000  1324.000000  1324.000000      462785
